school,date,amount,sport,deal_description,is_social_media
ucla,2022,2200.0,Softball,Social Media,1
ucla,2022,1084.0,Tennis,Outside Employment,0
ucla,2022,1084.0,Tennis,Outside Employment,0
ucla,2022,100.0,Basketball,Social Media,1
ucla,2022,100.0,Basketball,Social Media,1
ucla,2022,150.0,Basketball,Social Media,1
ucla,2022,45000.0,Football,Other,0
ucla,2022,2000.0,Football,Social Media,1
ucla,2022,52.0,Swimming/Diving,Social Media,1
ucla,2022,850.0,Gymnastics,Social Media,1
ucla,2022,17.5,Football,Royalty,0
ucla,2022,25000.0,Football,Social Media,1
ucla,2022,25000.0,Football,Social Media,1
ucla,2022,100.0,Golf,Social Media,1
ucla,2022,500.0,Football,Social Media,1
ucla,2022,15.0,Basketball,Social Media,1
ucla,2022,600.0,Basketball,Social Media,1
ucla,2022,750.0,Football,Other,0
ucla,2022,750.0,Football,Other,0
ucla,2022,5000.0,Gymnastics,Social Media,1
ucla,2022,600.0,Volleyball,Social Media,1
ucla,2022,10.0,Swimming/Diving,Social Media,1
ucla,2022,13500.0,Gymnastics,Social Media,1
ucla,2022,100.0,Gymnastics,Social Media,1
ucla,2022,400.0,Track and Field,Social Media,1
ucla,2022,600.0,Basketball,Social Media,1
ucla,2022,800.0,Swimming/Diving,Social Media,1
ucla,2022,1000.0,Basketball,Business Ownership/Creation,0
ucla,2022,1000.0,Basketball,Business Ownership/Creation,0
ucla,2022,1000.0,Basketball,Business Ownership/Creation,0
ucla,2022,1000.0,Basketball,Business Ownership/Creation,0
ucla,2022,1000.0,Basketball,Business Ownership/Creation,0
ucla,2022,1000.0,Basketball,Business Ownership/Creation,0
ucla,2022,1000.0,Soccer,Business Ownership/Creation,0
ucla,2022,1000.0,Water Polo,Business Ownership/Creation,0
ucla,2022,1000.0,Water Polo,Business Ownership/Creation,0
ucla,2022,1000.0,Beach Volleyball,Business Ownership/Creation,0
ucla,2022,1000.0,Water Polo,Business Ownership/Creation,0
ucla,2022,1000.0,Softball,Business Ownership/Creation,0
ucla,2022,1000.0,Softball,Business Ownership/Creation,0
ucla,2022,1000.0,Soccer,Business Ownership/Creation,0
ucla,2022,1000.0,Volleyball,Business Ownership/Creation,0
ucla,2022,1000.0,Volleyball,Business Ownership/Creation,0
ucla,2022,1000.0,Baseball,Business Ownership/Creation,0
ucla,2022,1000.0,Baseball,Business Ownership/Creation,0
ucla,2022,1000.0,Tennis,Business Ownership/Creation,0
ucla,2022,1000.0,Basketball,Business Ownership/Creation,0
ucla,2022,1000.0,Basketball,Business Ownership/Creation,0
